epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2032,1.50969,5.83147,0.88977,0.23603,0.12256,0.06591,0.04173,1.31724,2.62243,0.87401,0.0033244,0.0033244,0.0033244
2,138.841,1.4576,4.31851,0.88308,0.32918,0.2436,0.15137,0.09477,1.24795,2.1579,0.87409,0.00664455,0.00664455,0.00664455
3,202.664,1.43245,3.57138,0.89177,0.32175,0.28938,0.1842,0.10868,1.27956,2.3364,0.89316,0.0099515,0.0099515,0.0099515
4,267.547,1.40673,2.92325,0.89125,0.51553,0.27615,0.22953,0.14388,1.1983,1.9024,0.87753,0.0099406,0.0099406,0.0099406
5,332.953,1.31468,2.31812,0.8787,0.4537,0.33926,0.24355,0.15807,1.12174,1.81993,0.86831,0.0099208,0.0099208,0.0099208
6,398.22,1.26061,2.00797,0.86861,0.40864,0.33148,0.25066,0.16408,1.10587,1.73962,0.86694,0.009901,0.009901,0.009901
7,463.546,1.19871,1.81774,0.86785,0.42661,0.35177,0.28209,0.18882,1.06885,1.71325,0.85927,0.0098812,0.0098812,0.0098812
8,529.56,1.18253,1.75949,0.86015,0.38878,0.38384,0.30156,0.20144,1.03735,1.55804,0.8567,0.0098614,0.0098614,0.0098614
9,595.356,1.13997,1.65213,0.8524,0.43177,0.4106,0.31861,0.21737,1.01923,1.54015,0.85536,0.0098416,0.0098416,0.0098416
10,660.84,1.12558,1.62144,0.85323,0.41674,0.407,0.32901,0.22329,1.01318,1.53821,0.85123,0.0098218,0.0098218,0.0098218
11,725.87,1.12991,1.57998,0.85346,0.47399,0.38294,0.33646,0.2307,1.02303,1.47688,0.85101,0.009802,0.009802,0.009802
12,791.183,1.09784,1.53936,0.84562,0.43489,0.4258,0.36524,0.25628,0.97291,1.40293,0.84753,0.0097822,0.0097822,0.0097822
13,857.433,1.09827,1.49694,0.8484,0.41835,0.42003,0.36063,0.25319,0.97462,1.42534,0.84444,0.0097624,0.0097624,0.0097624
14,922.803,1.08331,1.47525,0.84614,0.46068,0.42547,0.38242,0.26672,0.96784,1.36846,0.84571,0.0097426,0.0097426,0.0097426
15,988.112,1.06467,1.46012,0.84578,0.40327,0.44142,0.38259,0.2668,0.99015,1.4014,0.85103,0.0097228,0.0097228,0.0097228
16,1053.69,1.07467,1.45291,0.84494,0.39479,0.4447,0.40569,0.28683,0.93833,1.32693,0.83895,0.009703,0.009703,0.009703
17,1119.82,1.05421,1.42886,0.84093,0.53551,0.4235,0.40162,0.28134,0.95017,1.3286,0.84024,0.0096832,0.0096832,0.0096832
18,1188.21,1.04117,1.39627,0.83668,0.42743,0.45379,0.4158,0.29811,0.95095,1.3064,0.84522,0.0096634,0.0096634,0.0096634
19,1255.77,1.05534,1.40681,0.8415,0.47521,0.4481,0.42032,0.29754,0.92625,1.25842,0.8399,0.0096436,0.0096436,0.0096436
20,1323.75,1.03861,1.36541,0.8388,0.50255,0.44001,0.43055,0.3068,0.92768,1.24608,0.83857,0.0096238,0.0096238,0.0096238
21,1389.38,1.02098,1.34678,0.83866,0.49344,0.47362,0.44909,0.31791,0.92596,1.28498,0.84012,0.009604,0.009604,0.009604
22,1455.1,1.02818,1.37656,0.83889,0.49649,0.46,0.44437,0.31715,0.92155,1.24531,0.83842,0.0095842,0.0095842,0.0095842
23,1520.68,1.01371,1.33296,0.83536,0.4619,0.43699,0.42134,0.30025,0.9238,1.32193,0.83574,0.0095644,0.0095644,0.0095644
24,1586.01,1.01032,1.31907,0.83362,0.4564,0.47898,0.45171,0.32474,0.90677,1.2397,0.8373,0.0095446,0.0095446,0.0095446
25,1651.22,1.01785,1.32293,0.83408,0.47497,0.49513,0.47036,0.3377,0.9121,1.18172,0.83607,0.0095248,0.0095248,0.0095248
26,1716.46,0.99992,1.28386,0.83736,0.4995,0.48234,0.46867,0.33648,0.92316,1.19164,0.83551,0.009505,0.009505,0.009505
27,1781.72,1.02267,1.28982,0.84171,0.53504,0.46655,0.46344,0.33151,0.91414,1.18009,0.83573,0.0094852,0.0094852,0.0094852
28,1846.82,1.00068,1.29306,0.83582,0.49295,0.49357,0.48253,0.34734,0.90649,1.16364,0.83604,0.0094654,0.0094654,0.0094654
29,1912.64,1.00395,1.25909,0.82877,0.49867,0.4948,0.49059,0.35804,0.89104,1.10582,0.83358,0.0094456,0.0094456,0.0094456
30,1978.67,0.99924,1.25233,0.83066,0.5414,0.47864,0.49697,0.35552,0.90185,1.15408,0.83382,0.0094258,0.0094258,0.0094258
31,2044.18,0.99139,1.24037,0.82937,0.52596,0.49565,0.48886,0.35657,0.88814,1.13796,0.83081,0.009406,0.009406,0.009406
32,2109.47,0.99848,1.23756,0.83126,0.55054,0.48387,0.49405,0.35754,0.8933,1.12166,0.832,0.0093862,0.0093862,0.0093862
33,2174.61,0.99336,1.23338,0.83229,0.56321,0.48376,0.50893,0.36861,0.88528,1.09437,0.82818,0.0093664,0.0093664,0.0093664
34,2240.05,0.99422,1.21719,0.8297,0.5587,0.51274,0.50771,0.36562,0.89095,1.10353,0.83178,0.0093466,0.0093466,0.0093466
35,2305.53,0.98548,1.21396,0.82733,0.55582,0.49407,0.51119,0.37299,0.88204,1.07263,0.83151,0.0093268,0.0093268,0.0093268
36,2370.61,0.97694,1.20752,0.82903,0.54049,0.49791,0.51504,0.3755,0.87882,1.0754,0.82836,0.009307,0.009307,0.009307
37,2436.27,0.97557,1.17226,0.83018,0.56777,0.52059,0.53425,0.39278,0.8676,1.05206,0.82712,0.0092872,0.0092872,0.0092872
38,2501.55,0.96974,1.1545,0.82458,0.57683,0.50613,0.53779,0.39431,0.87107,1.03235,0.82822,0.0092674,0.0092674,0.0092674
39,2566.55,0.98657,1.18781,0.82745,0.55582,0.51621,0.52627,0.38549,0.87841,1.05395,0.83037,0.0092476,0.0092476,0.0092476
40,2631.81,0.97459,1.16921,0.83089,0.57922,0.5221,0.53816,0.39248,0.8754,1.0298,0.82731,0.0092278,0.0092278,0.0092278
41,2697.19,0.95874,1.16031,0.82677,0.56272,0.51525,0.5375,0.39376,0.86889,1.04488,0.83015,0.009208,0.009208,0.009208
42,2762.37,0.97059,1.16821,0.82636,0.55766,0.52876,0.54381,0.39919,0.87107,1.02949,0.82816,0.0091882,0.0091882,0.0091882
43,2827.7,0.97862,1.15736,0.8275,0.56396,0.52605,0.54538,0.39951,0.86401,1.01242,0.82625,0.0091684,0.0091684,0.0091684
44,2892.93,0.96112,1.13106,0.82668,0.57663,0.53084,0.54835,0.40275,0.86439,1.01648,0.82714,0.0091486,0.0091486,0.0091486
45,2961.84,0.96617,1.1471,0.83051,0.5561,0.53667,0.56045,0.41174,0.86525,0.98741,0.82903,0.0091288,0.0091288,0.0091288
46,3027.2,0.96155,1.12399,0.82825,0.61455,0.52585,0.56747,0.41973,0.85186,0.97659,0.82582,0.009109,0.009109,0.009109
47,3092.27,0.95627,1.11794,0.8221,0.55039,0.54043,0.56138,0.41277,0.85664,0.98132,0.82542,0.0090892,0.0090892,0.0090892
48,3157.29,0.9627,1.10407,0.82521,0.60621,0.52688,0.56783,0.4202,0.84833,0.98242,0.82437,0.0090694,0.0090694,0.0090694
49,3222.44,0.95438,1.10917,0.82688,0.6082,0.52659,0.56088,0.4138,0.8528,0.98221,0.826,0.0090496,0.0090496,0.0090496
50,3288.57,0.96125,1.10978,0.8246,0.58205,0.54029,0.5644,0.41676,0.85415,0.96215,0.82896,0.0090298,0.0090298,0.0090298
51,3353.68,0.95009,1.09872,0.8284,0.60655,0.53183,0.56981,0.41939,0.84828,0.97063,0.82483,0.00901,0.00901,0.00901
52,3419.04,0.95487,1.10507,0.82356,0.60015,0.55216,0.58354,0.43169,0.84707,0.93398,0.82565,0.0089902,0.0089902,0.0089902
53,3484.04,0.95395,1.08851,0.82459,0.5773,0.54,0.5779,0.42758,0.8455,0.94742,0.82383,0.0089704,0.0089704,0.0089704
54,3549.13,0.95328,1.08213,0.82552,0.57567,0.56574,0.58968,0.43535,0.84781,0.92514,0.82527,0.0089506,0.0089506,0.0089506
55,3614.19,0.94356,1.07602,0.82432,0.58675,0.54115,0.57893,0.42714,0.84451,0.95021,0.82633,0.0089308,0.0089308,0.0089308
56,3679.76,0.94389,1.06598,0.8219,0.60521,0.55826,0.59541,0.43991,0.83919,0.91264,0.82421,0.008911,0.008911,0.008911
57,3747.81,0.94096,1.07783,0.82293,0.58516,0.54394,0.58493,0.43218,0.83457,0.93022,0.82279,0.0088912,0.0088912,0.0088912
58,3815.42,0.94984,1.07337,0.82414,0.61909,0.54602,0.59548,0.44032,0.83956,0.91404,0.82488,0.0088714,0.0088714,0.0088714
59,3882.52,0.94656,1.06547,0.8233,0.61607,0.56022,0.60396,0.44854,0.83418,0.90399,0.82542,0.0088516,0.0088516,0.0088516
60,3949.5,0.94318,1.04889,0.82385,0.60842,0.57281,0.59906,0.44277,0.83396,0.91438,0.82234,0.0088318,0.0088318,0.0088318
61,4016.39,0.93638,1.04076,0.82135,0.60703,0.5713,0.60869,0.45126,0.83954,0.89391,0.82387,0.008812,0.008812,0.008812
62,4081.66,0.93081,1.02934,0.82315,0.62814,0.571,0.61052,0.45364,0.82881,0.88261,0.82354,0.0087922,0.0087922,0.0087922
63,4147.11,0.93694,1.02634,0.82357,0.63509,0.58224,0.61763,0.45926,0.82854,0.87773,0.82267,0.0087724,0.0087724,0.0087724
64,4212.03,0.92699,1.02423,0.82252,0.62455,0.58214,0.62452,0.46437,0.82437,0.86653,0.82327,0.0087526,0.0087526,0.0087526
65,4277.24,0.93863,1.03707,0.82282,0.63249,0.56755,0.61552,0.45746,0.82771,0.87386,0.82257,0.0087328,0.0087328,0.0087328
66,4342.43,0.94768,1.05386,0.82204,0.64086,0.57951,0.624,0.46372,0.82456,0.86136,0.82216,0.008713,0.008713,0.008713
67,4407.62,0.92568,1.01772,0.82221,0.65685,0.57729,0.62402,0.46462,0.82689,0.85721,0.82262,0.0086932,0.0086932,0.0086932
68,4472.85,0.93443,0.99972,0.8266,0.62547,0.58304,0.62403,0.46585,0.82336,0.85093,0.82029,0.0086734,0.0086734,0.0086734
69,4538.06,0.93711,1.01791,0.82476,0.62578,0.58894,0.62821,0.46772,0.82233,0.85573,0.82175,0.0086536,0.0086536,0.0086536
70,4603.4,0.9262,0.99535,0.82071,0.66936,0.5706,0.63462,0.47433,0.82282,0.83946,0.82119,0.0086338,0.0086338,0.0086338
71,4669.49,0.91547,0.97775,0.82215,0.64634,0.57717,0.63206,0.47243,0.82195,0.8361,0.82109,0.008614,0.008614,0.008614
72,4736.76,0.91722,0.98676,0.82215,0.65292,0.59341,0.63759,0.47741,0.81831,0.83216,0.81998,0.0085942,0.0085942,0.0085942
73,4803.34,0.9224,0.97026,0.82373,0.68656,0.57026,0.641,0.47929,0.8137,0.81977,0.82039,0.0085744,0.0085744,0.0085744
74,4868.86,0.92296,0.99024,0.82062,0.68181,0.57328,0.63538,0.47159,0.81871,0.83157,0.82083,0.0085546,0.0085546,0.0085546
75,4933.98,0.90817,0.96269,0.81822,0.64297,0.59711,0.63874,0.47557,0.81565,0.82398,0.82085,0.0085348,0.0085348,0.0085348
76,4999.19,0.91593,0.98543,0.82375,0.65031,0.59931,0.64264,0.48093,0.81925,0.81773,0.82052,0.008515,0.008515,0.008515
77,5064.26,0.92571,0.96186,0.8214,0.67982,0.58986,0.64961,0.48456,0.81237,0.80685,0.81981,0.0084952,0.0084952,0.0084952
78,5129.59,0.90487,0.95447,0.81858,0.63851,0.60673,0.65027,0.48475,0.81004,0.79815,0.8196,0.0084754,0.0084754,0.0084754
79,5194.73,0.91753,0.97507,0.82244,0.67796,0.60882,0.65486,0.48978,0.81137,0.79535,0.82016,0.0084556,0.0084556,0.0084556
80,5259.81,0.91194,0.956,0.82064,0.68895,0.59905,0.65839,0.49228,0.80773,0.79368,0.81953,0.0084358,0.0084358,0.0084358
81,5325.46,0.90892,0.95686,0.82213,0.66261,0.60023,0.6539,0.49216,0.80548,0.79125,0.81858,0.008416,0.008416,0.008416
82,5390.59,0.91647,0.96068,0.82167,0.67668,0.60223,0.65445,0.49045,0.80837,0.79278,0.82016,0.0083962,0.0083962,0.0083962
83,5455.79,0.91141,0.95226,0.82153,0.68487,0.60826,0.66777,0.50191,0.80874,0.78318,0.81966,0.0083764,0.0083764,0.0083764
84,5521.05,0.92328,0.95,0.82246,0.70421,0.59796,0.67152,0.50391,0.80463,0.77892,0.8186,0.0083566,0.0083566,0.0083566
85,5586.92,0.91262,0.95084,0.81754,0.69301,0.60806,0.67411,0.50656,0.80481,0.77669,0.81838,0.0083368,0.0083368,0.0083368
86,5652.06,0.92414,0.94517,0.82247,0.70832,0.59131,0.66771,0.50261,0.80981,0.77853,0.81896,0.008317,0.008317,0.008317
87,5717.47,0.92015,0.9278,0.82407,0.6777,0.61573,0.67012,0.50293,0.8067,0.77978,0.81938,0.0082972,0.0082972,0.0082972
88,5782.46,0.90512,0.93476,0.81924,0.68515,0.61511,0.67269,0.50586,0.80433,0.76818,0.81913,0.0082774,0.0082774,0.0082774
